L,threshold,log10_fl,log10_fi
1000000,0.01,-2.2090345116807844,0.0
1000000,0.01,-2.1538461538461555,-0.05518835783462954
1000000,0.01,-2.0551883578346333,-0.15384615384615327
1000000,0.01,-2.0,-0.2090345116807844
1000000,0.01,-1.9013422039884786,-0.3076923076923075
1000000,0.01,-1.8461538461538487,-0.36288066552693865
1000000,0.01,-1.7474960501423251,-0.46153846153846173
1000000,0.01,-1.6923076923076934,-0.5167268193730943
1000000,0.01,-1.5936498962961716,-0.6153846153846151
1000000,0.01,-1.5384615384615383,-0.6705729732192461
1000000,0.01,-1.4398037424500156,-0.7692307692307692
1000000,0.01,-1.3846153846153848,-0.8244191270654017
1000000,0.01,-1.2859575886038637,-0.9230769230769226
1000000,0.01,-1.230769230769231,-0.9782652809115536
1000000,0.01,-1.132111434757708,-1.0769230769230766
1000000,0.01,-1.0769230769230766,-1.132111434757708
1000000,0.01,-0.9782652809115536,-1.230769230769231
1000000,0.01,-0.9230769230769226,-1.2859575886038637
1000000,0.01,-0.8244191270654017,-1.3846153846153848
1000000,0.01,-0.7692307692307692,-1.4398037424500156
1000000,0.01,-0.6705729732192461,-1.5384615384615383
1000000,0.01,-0.6153846153846151,-1.5936498962961716
1000000,0.01,-0.5167268193730943,-1.6923076923076934
1000000,0.01,-0.46153846153846173,-1.7474960501423251
1000000,0.01,-0.36288066552693865,-1.8461538461538487
1000000,0.01,-0.3076923076923075,-1.9013422039884786
1000000,0.01,-0.2090345116807844,-2.0
1000000,0.01,-0.15384615384615327,-2.0551883578346333
1000000,0.01,-0.05518835783462954,-2.1538461538461555
1000000,0.01,0.0,-2.209034511680784
1000000,0.1,-1.1876596754230064,0.0
1000000,0.1,-1.0769230769230769,-0.11073659849992949
1000000,0.1,-1.0338135215768531,-0.15384615384615327
1000000,0.1,-0.9230769230769226,-0.2645827523460837
1000000,0.1,-0.8799673677306987,-0.30769230769230754
1000000,0.1,-0.7692307692307692,-0.4184289061922371
1000000,0.1,-0.7261212138845445,-0.4615384615384618
1000000,0.1,-0.6153846153846151,-0.5722750600383912
1000000,0.1,-0.5722750600383912,-0.6153846153846151
1000000,0.1,-0.4615384615384618,-0.7261212138845445
1000000,0.1,-0.4184289061922371,-0.7692307692307692
1000000,0.1,-0.30769230769230754,-0.8799673677306987
1000000,0.1,-0.2645827523460837,-0.9230769230769226
1000000,0.1,-0.15384615384615327,-1.0338135215768531
1000000,0.1,-0.11073659849992949,-1.0769230769230769
1000000,0.1,0.0,-1.1876596754230064
1000000,0.5,-0.3664840676606701,0.0
1000000,0.5,-0.3076923076923076,-0.05879175996836255
1000000,0.5,-0.21263791381451683,-0.15384615384615327
1000000,0.5,-0.15384615384615327,-0.21263791381451683
1000000,0.5,-0.05879175996836255,-0.3076923076923076
1000000,0.5,0.0,-0.3664840676606701
100000000,0.01,-4.209034511680785,0.0
100000000,0.01,-4.153846153846153,-0.05518835783463247
100000000,0.01,-4.055188357834632,-0.15384615384615327
100000000,0.01,-4.0,-0.2090345116807844
100000000,0.01,-3.901342203988672,-0.3076923076923075
100000000,0.01,-3.8461538461541505,-0.36288066552693865
100000000,0.01,-3.7474960501425336,-0.46153846153846173
100000000,0.01,-3.6923076923078497,-0.5167268193730943
100000000,0.01,-3.5936498962963,-0.6153846153846151
100000000,0.01,-3.538461538461651,-0.6705729732192461
100000000,0.01,-3.4398037424500796,-0.7692307692307692
100000000,0.01,-3.3846153846154214,-0.8244191270654017
100000000,0.01,-3.28595758860392,-0.9230769230769226
100000000,0.01,-3.2307692307692983,-0.9782652809115536
100000000,0.01,-3.1321114347577623,-1.0769230769230766
100000000,0.01,-3.0769230769231246,-1.132111434757708
100000000,0.01,-2.9782652809115766,-1.2307692307692308
100000000,0.01,-2.923076923076936,-1.2859575886038608
100000000,0.01,-2.824419127065421,-1.3846153846153848
100000000,0.01,-2.7692307692307914,-1.4398037424500156
100000000,0.01,-2.6705729732192576,-1.5384615384615383
100000000,0.01,-2.6153846153846203,-1.5936498962961716
100000000,0.01,-2.5167268193730976,-1.6923076923076934
100000000,0.01,-2.461538461538464,-1.7474960501423267
100000000,0.01,-2.3628806655269434,-1.8461538461538487
100000000,0.01,-2.307692307692311,-1.9013422039884786
100000000,0.01,-2.209034511680787,-2.0
100000000,0.01,-2.153846153846155,-2.0551883578346315
100000000,0.01,-2.0551883578346315,-2.153846153846155
100000000,0.01,-2.0,-2.209034511680787
100000000,0.01,-1.9013422039884786,-2.307692307692311
100000000,0.01,-1.8461538461538487,-2.3628806655269434
100000000,0.01,-1.7474960501423267,-2.461538461538464
100000000,0.01,-1.6923076923076934,-2.5167268193730976
100000000,0.01,-1.5936498962961716,-2.6153846153846203
100000000,0.01,-1.5384615384615383,-2.6705729732192576
100000000,0.01,-1.4398037424500156,-2.7692307692307914
100000000,0.01,-1.3846153846153848,-2.824419127065421
100000000,0.01,-1.2859575886038637,-2.9230769230769362
100000000,0.01,-1.230769230769231,-2.9782652809115797
100000000,0.01,-1.132111434757708,-3.0769230769231246
100000000,0.01,-1.0769230769230766,-3.1321114347577623
100000000,0.01,-0.9782652809115536,-3.2307692307692983
100000000,0.01,-0.9230769230769226,-3.28595758860392
100000000,0.01,-0.8244191270654017,-3.3846153846154214
100000000,0.01,-0.7692307692307692,-3.4398037424500796
100000000,0.01,-0.6705729732192461,-3.538461538461651
100000000,0.01,-0.6153846153846151,-3.5936498962963
100000000,0.01,-0.5167268193730913,-3.6923076923078497
100000000,0.01,-0.4615384615384617,-3.74749605014253
100000000,0.01,-0.36288066552693865,-3.8461538461541505
100000000,0.01,-0.3076923076923075,-3.901342203988672
100000000,0.01,-0.2090345116807844,-4.0
100000000,0.01,-0.15384615384615327,-4.055188357834632
100000000,0.01,-0.05518835783463247,-4.153846153846153
100000000,0.01,0.0,-4.209034511680784
100000000,0.1,-3.1876596754230686,0.0
100000000,0.1,-3.0769230769231246,-0.11073659849992949
100000000,0.1,-3.0338135215768913,-0.15384615384615327
100000000,0.1,-2.9230769230769362,-0.2645827523460833
100000000,0.1,-2.879967367730714,-0.30769230769230754
100000000,0.1,-2.769230769230792,-0.41842890619223694
100000000,0.1,-2.7261212138845625,-0.4615384615384618
100000000,0.1,-2.6153846153846203,-0.5722750600383912
100000000,0.1,-2.572275060038396,-0.6153846153846151
100000000,0.1,-2.461538461538464,-0.726121213884545
100000000,0.1,-2.41842890619224,-0.7692307692307692
100000000,0.1,-2.307692307692311,-0.8799673677306987
100000000,0.1,-2.2645827523460866,-0.9230769230769227
100000000,0.1,-2.1538461538461555,-1.0338135215768527
100000000,0.1,-2.1107365984999307,-1.0769230769230769
100000000,0.1,-2.0,-1.1876596754230064
100000000,0.1,-1.956890444653776,-1.230769230769231
100000000,0.1,-1.846153846153849,-1.3415058292691608
100000000,0.1,-1.8030442908076247,-1.3846153846153848
100000000,0.1,-1.6923076923076936,-1.4953519831153148
100000000,0.1,-1.6491981369614692,-1.5384615384615385
100000000,0.1,-1.5384615384615385,-1.6491981369614692
100000000,0.1,-1.4953519831153148,-1.6923076923076936
100000000,0.1,-1.3846153846153848,-1.8030442908076247
100000000,0.1,-1.3415058292691608,-1.846153846153849
100000000,0.1,-1.230769230769231,-1.956890444653776
100000000,0.1,-1.1876596754230064,-2.0
100000000,0.1,-1.0769230769230769,-2.1107365984999307
100000000,0.1,-1.0338135215768527,-2.1538461538461555
100000000,0.1,-0.9230769230769227,-2.2645827523460866
100000000,0.1,-0.8799673677306987,-2.307692307692311
100000000,0.1,-0.7692307692307692,-2.41842890619224
100000000,0.1,-0.726121213884545,-2.461538461538464
100000000,0.1,-0.6153846153846151,-2.572275060038396
100000000,0.1,-0.5722750600383912,-2.6153846153846203
100000000,0.1,-0.4615384615384618,-2.7261212138845625
100000000,0.1,-0.41842890619223694,-2.769230769230792
100000000,0.1,-0.30769230769230754,-2.879967367730714
100000000,0.1,-0.2645827523460833,-2.9230769230769362
100000000,0.1,-0.15384615384615327,-3.0338135215768913
100000000,0.1,-0.11073659849992949,-3.0769230769231246
100000000,0.1,0.0,-3.187659675423068
100000000,0.5,-2.3664840676606733,0.0
100000000,0.5,-2.307692307692311,-0.05879175996836255
100000000,0.5,-2.212637913814519,-0.15384615384615327
100000000,0.5,-2.1538461538461555,-0.21263791381451627
100000000,0.5,-2.058791759968363,-0.30769230769230754
100000000,0.5,-2.0,-0.3664840676606701
100000000,0.5,-1.9049456061222099,-0.4615384615384617
100000000,0.5,-1.846153846153849,-0.5203302215068244
100000000,0.5,-1.7510994522760575,-0.615384615384615
100000000,0.5,-1.6923076923076934,-0.6741763753529784
100000000,0.5,-1.597253298429902,-0.7692307692307692
100000000,0.5,-1.5384615384615388,-0.8280225291991318
100000000,0.5,-1.4434071445837482,-0.9230769230769227
100000000,0.5,-1.384615384615385,-0.9818686830452863
100000000,0.5,-1.289560990737594,-1.0769230769230769
100000000,0.5,-1.230769230769231,-1.1357148368914394
100000000,0.5,-1.1357148368914394,-1.230769230769231
100000000,0.5,-1.0769230769230769,-1.289560990737594
100000000,0.5,-0.9818686830452863,-1.384615384615385
100000000,0.5,-0.9230769230769227,-1.4434071445837482
100000000,0.5,-0.8280225291991318,-1.5384615384615388
100000000,0.5,-0.7692307692307692,-1.597253298429902
100000000,0.5,-0.6741763753529786,-1.6923076923076938
100000000,0.5,-0.6153846153846151,-1.7510994522760577
100000000,0.5,-0.5203302215068244,-1.846153846153849
100000000,0.5,-0.4615384615384617,-1.9049456061222099
100000000,0.5,-0.3664840676606701,-2.0
100000000,0.5,-0.30769230769230754,-2.058791759968363
100000000,0.5,-0.21263791381451635,-2.1538461538461555
100000000,0.5,-0.15384615384615327,-2.212637913814519
100000000,0.5,-0.05879175996836255,-2.307692307692311
100000000,0.5,0.0,-2.3664840676606733
